"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 21:00:47 GMT 2025","Thu Oct 23 21:00:52 GMT 2025","5534","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_05_alerts_handling[chrome]","Test handling of alerts."
"passed","Thu Oct 23 21:05:48 GMT 2025","Thu Oct 23 21:05:48 GMT 2025","167","selenium_demoblaze_framework.tests","test_file_upload","TestFileUpload","","","test_upload_multiple_files_local","Test multiple file upload using our local test page."
"passed","Thu Oct 23 21:03:03 GMT 2025","Thu Oct 23 21:03:05 GMT 2025","2305","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_16_element_states[chrome]","Test element state validations."
"passed","Thu Oct 23 21:04:39 GMT 2025","Thu Oct 23 21:04:50 GMT 2025","10940","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_25_pagination[chrome]","Test product pagination."
"passed","Thu Oct 23 21:00:18 GMT 2025","Thu Oct 23 21:00:20 GMT 2025","2187","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_01_browser_windows_and_tabs[chrome]","Test handling multiple windows and tabs."
"passed","Thu Oct 23 21:01:03 GMT 2025","Thu Oct 23 21:01:05 GMT 2025","2324","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_09_wait_strategies[chrome]","Test different wait strategies."
"passed","Thu Oct 23 21:05:46 GMT 2025","Thu Oct 23 21:05:47 GMT 2025","193","selenium_demoblaze_framework.tests","test_file_upload","TestFileUpload","","","test_upload_single_file_send_keys_local","Test single file upload using send_keys on our local test page."
"passed","Thu Oct 23 21:02:59 GMT 2025","Thu Oct 23 21:03:02 GMT 2025","3068","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_15_performance_metrics[chrome]","Test performance metrics collection."
"passed","Thu Oct 23 21:01:00 GMT 2025","Thu Oct 23 21:01:02 GMT 2025","1634","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_08_screenshot_operations[chrome]","Test various screenshot operations."
"passed","Thu Oct 23 21:02:01 GMT 2025","Thu Oct 23 21:02:22 GMT 2025","20827","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_12_data_driven_json[chrome]","
        MODIFIED: Test now reads data from data/test_data.json and performs UI actions.
        "
"passed","Thu Oct 23 21:07:34 GMT 2025","Thu Oct 23 21:07:36 GMT 2025","2030","selenium_demoblaze_framework.tests","test_page_factory","TestPageFactory","","","test_page_factory_multiple_elements","Test Page Factory multiple elements initialization"
"passed","Thu Oct 23 21:04:11 GMT 2025","Thu Oct 23 21:04:13 GMT 2025","2491","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_23_contact_form[chrome]","Test contact form submission."
"passed","Thu Oct 23 21:05:11 GMT 2025","Thu Oct 23 21:05:11 GMT 2025","0","selenium_demoblaze_framework.tests","test_demoblaze_e2e","TestDemoBlazeE2E","","","test_28_mobile_emulation[chrome]","Mobile emulation is disabled by default."
"passed","Thu Oct 23 21:00:15 GMT 2025","Thu Oct 23 21:00:16 GMT 2025","1309","selenium_demoblaze_framework.tests","test_checkboxes","TestCheckboxes","","","test_local_checkbox_interaction","This test verifies checkbox functionality by checking, unchecking, and asserting states on a locally-hosted, 100% reliable test page."
